year,kpi,doncode,value
2014,KPI_ReachDRER_CPD,DAD001,0
2014,KPI_ReachDRER_CPD,DAF001,294650
2014,KPI_ReachDRER_CPD,DAG001,0
2014,KPI_ReachDRER_CPD,DAL001,2640
2014,KPI_ReachDRER_CPD,DAM001,7268
2014,KPI_ReachDRER_CPD,DAO001,600
2014,KPI_ReachDRER_CPD,DAR001,72319
2014,KPI_ReachDRER_CPD,DAU001,45974
2014,KPI_ReachDRER_CPD,DAZ001,65
2014,KPI_ReachDRER_CPD,DBA001,24246
2014,KPI_ReachDRER_CPD,DBD001,882990
2014,KPI_ReachDRER_CPD,DBE001,207228
2014,KPI_ReachDRER_CPD,DBF001,6267
2014,KPI_ReachDRER_CPD,DBG001,82852
2014,KPI_ReachDRER_CPD,DBH001,0
2014,KPI_ReachDRER_CPD,DBI001,87261
2014,KPI_ReachDRER_CPD,DBJ001,0
2014,KPI_ReachDRER_CPD,DBO001,16750
2014,KPI_ReachDRER_CPD,DBR001,4270
2014,KPI_ReachDRER_CPD,DBS001,3
2014,KPI_ReachDRER_CPD,DBW001,5000
2014,KPI_ReachDRER_CPD,DBY001,34142
2014,KPI_ReachDRER_CPD,DBZ001,0
2014,KPI_ReachDRER_CPD,DCA001,46973
2014,KPI_ReachDRER_CPD,DCD001,38796
2014,KPI_ReachDRER_CPD,DCF001,44158
2014,KPI_ReachDRER_CPD,DCG001,250
2014,KPI_ReachDRER_CPD,DCH001,0
2014,KPI_ReachDRER_CPD,DCI001,28425
2014,KPI_ReachDRER_CPD,DCK001,0
2014,KPI_ReachDRER_CPD,DCL001,95860
2014,KPI_ReachDRER_CPD,DCM001,505000
2014,KPI_ReachDRER_CPD,DCN001,2644955
2014,KPI_ReachDRER_CPD,DCO001,1214961
2014,KPI_ReachDRER_CPD,DCR001,178
2014,KPI_ReachDRER_CPD,DRS001,39651
2014,KPI_ReachDRER_CPD,DCU001,280000
2014,KPI_ReachDRER_CPD,DCV001,3444
2014,KPI_ReachDRER_CPD,DCY001,60065
2014,KPI_ReachDRER_CPD,DCZ001,0
2014,KPI_ReachDRER_CPD,DDE001,167250
2014,KPI_ReachDRER_CPD,DDJ001,0
2014,KPI_ReachDRER_CPD,DDK001,40000
2014,KPI_ReachDRER_CPD,DDM001,136
2014,KPI_ReachDRER_CPD,DDO001,12500
2014,KPI_ReachDRER_CPD,DEC001,57174
2014,KPI_ReachDRER_CPD,DEE001,0
2014,KPI_ReachDRER_CPD,DEG001,460000
2014,KPI_ReachDRER_CPD,DES001,487265
2014,KPI_ReachDRER_CPD,DET001,163154
2014,KPI_ReachDRER_CPD,DFI001,21842
2014,KPI_ReachDRER_CPD,DFJ001,0
2014,KPI_ReachDRER_CPD,DFM001,382
2014,KPI_ReachDRER_CPD,DFR001,91891
2014,KPI_ReachDRER_CPD,DGA001,3976
2014,KPI_ReachDRER_CPD,DGB001,84357
2014,KPI_ReachDRER_CPD,DGD001,10
2014,KPI_ReachDRER_CPD,DGE001,2528
2014,KPI_ReachDRER_CPD,DGH001,45451
2014,KPI_ReachDRER_CPD,DGM001,44800
2014,KPI_ReachDRER_CPD,DGN001,841343
2014,KPI_ReachDRER_CPD,DGQ001,21
2014,KPI_ReachDRER_CPD,DGR001,9550
2014,KPI_ReachDRER_CPD,DGT001,63644
2014,KPI_ReachDRER_CPD,DGW001,16355
2014,KPI_ReachDRER_CPD,DGY001,0
2014,KPI_ReachDRER_CPD,DHN001,62540
2014,KPI_ReachDRER_CPD,DHR001,8555
2014,KPI_ReachDRER_CPD,DHT001,20750
2014,KPI_ReachDRER_CPD,DHU001,10000
2014,KPI_ReachDRER_CPD,DID001,129107
2014,KPI_ReachDRER_CPD,DIE001,0
2014,KPI_ReachDRER_CPD,DIN001,115520
2014,KPI_ReachDRER_CPD,DIQ001,998724
2014,KPI_ReachDRER_CPD,DIR001,40769
2014,KPI_ReachDRER_CPD,DIS001,0
2014,KPI_ReachDRER_CPD,DIT001,276108
2014,KPI_ReachDRER_CPD,DJM001,6000
2014,KPI_ReachDRER_CPD,DJO001,301027
2014,KPI_ReachDRER_CPD,DJP001,52398
2014,KPI_ReachDRER_CPD,DKE001,14546990
2014,KPI_ReachDRER_CPD,DKG001,0
2014,KPI_ReachDRER_CPD,DKH001,245130
2014,KPI_ReachDRER_CPD,DKM001,1780
2014,KPI_ReachDRER_CPD,DKN001,15
2014,KPI_ReachDRER_CPD,DKR001,20018
2014,KPI_ReachDRER_CPD,DKZ001,2500
2014,KPI_ReachDRER_CPD,DLA001,8876
2014,KPI_ReachDRER_CPD,DLB001,62765
2014,KPI_ReachDRER_CPD,DLC001,250
2014,KPI_ReachDRER_CPD,DLI001,0
2014,KPI_ReachDRER_CPD,DLK001,78000
2014,KPI_ReachDRER_CPD,DLR001,1944097
2014,KPI_ReachDRER_CPD,DLS001,10174
2014,KPI_ReachDRER_CPD,DLT001,0
2014,KPI_ReachDRER_CPD,DLU001,17203
2014,KPI_ReachDRER_CPD,DLV001,210
2014,KPI_ReachDRER_CPD,DLY001,2e+05
2014,KPI_ReachDRER_CPD,DMA001,30000
2014,KPI_ReachDRER_CPD,DMC001,0
2014,KPI_ReachDRER_CPD,DMD001,10295
