doncode,year,kpi,value
DAF001,2022,KPI_Climate_CPD,
DAF001,2022,KPI_ClimateHeat_CPD,
DAF001,2022,KPI_ReachCTP_CPD,316005
DAF001,2022,KPI_ReachDRER_CPD,2048776
DAF001,2022,KPI_ReachDRR_CPD,
DAF001,2022,KPI_ReachH_CPD,3617702
DAF001,2022,KPI_ReachHI_CPD,416679
DAF001,2022,KPI_ReachHPM_CPD,1600
DAF001,2022,KPI_ReachL_CPD,1445389
DAF001,2022,KPI_ReachLTSPD_CPD,3382377
DAF001,2022,KPI_ReachM_CPD,
DAF001,2022,KPI_ReachRCRCEd_CPD,225
DAF001,2022,KPI_ReachS_CPD,70062
DAF001,2022,KPI_ReachSI_CPD,
DAF001,2022,KPI_ReachWASH_CPD,63003
DAF001,2022,KPI_TrainFA_Tot,73
DAF001,2022,KPI_DonBlood_Tot,780
DAF001,2022,KPI_PeopleVol_Tot,24056
DAF001,2022,KPI_PStaff_Tot,3909
DAF001,2022,KPI_noLocalUnits,122
DAF001,2022,KPI_IncomeLC_CHF,22720988
DAF001,2022,KPI_expenditureLC_CHF,21541408
DAL001,2022,KPI_Climate_CPD,0
DAL001,2022,KPI_ClimateHeat_CPD,4000
DAL001,2022,KPI_ReachCTP_CPD,5000
DAL001,2022,KPI_ReachDRER_CPD,25000
DAL001,2022,KPI_ReachDRR_CPD,20000
DAL001,2022,KPI_ReachH_CPD,41000
DAL001,2022,KPI_ReachHI_CPD,27300
DAL001,2022,KPI_ReachHPM_CPD,1000
DAL001,2022,KPI_ReachL_CPD,5000
DAL001,2022,KPI_ReachLTSPD_CPD,15400
DAL001,2022,KPI_ReachM_CPD,485
DAL001,2022,KPI_ReachRCRCEd_CPD,20400
DAL001,2022,KPI_ReachS_CPD,100
DAL001,2022,KPI_ReachSI_CPD,7800
DAL001,2022,KPI_ReachWASH_CPD,2250
DAL001,2022,KPI_TrainFA_Tot,71638
DAL001,2022,KPI_DonBlood_Tot,4895
DAL001,2022,KPI_PeopleVol_Tot,2225
DAL001,2022,KPI_PStaff_Tot,62
DAL001,2022,KPI_noLocalUnits,39
DAL001,2022,KPI_IncomeLC_CHF,2545650
DAL001,2022,KPI_expenditureLC_CHF,1544930
DDZ001,2022,KPI_Climate_CPD,
DDZ001,2022,KPI_ClimateHeat_CPD,
DDZ001,2022,KPI_ReachCTP_CPD,
DDZ001,2022,KPI_ReachDRER_CPD,
DDZ001,2022,KPI_ReachDRR_CPD,
DDZ001,2022,KPI_ReachH_CPD,
DDZ001,2022,KPI_ReachHI_CPD,
DDZ001,2022,KPI_ReachHPM_CPD,
DDZ001,2022,KPI_ReachL_CPD,
DDZ001,2022,KPI_ReachLTSPD_CPD,
DDZ001,2022,KPI_ReachM_CPD,
DDZ001,2022,KPI_ReachRCRCEd_CPD,
DDZ001,2022,KPI_ReachS_CPD,
DDZ001,2022,KPI_ReachSI_CPD,
DDZ001,2022,KPI_ReachWASH_CPD,
DDZ001,2022,KPI_TrainFA_Tot,
DDZ001,2022,KPI_DonBlood_Tot,
DDZ001,2022,KPI_PeopleVol_Tot,
DDZ001,2022,KPI_PStaff_Tot,
DDZ001,2022,KPI_noLocalUnits,
DDZ001,2022,KPI_IncomeLC_CHF,
DDZ001,2022,KPI_expenditureLC_CHF,
DUS001,2022,KPI_Climate_CPD,
DUS001,2022,KPI_ClimateHeat_CPD,
DUS001,2022,KPI_ReachCTP_CPD,286970
DUS001,2022,KPI_ReachDRER_CPD,
DUS001,2022,KPI_ReachDRR_CPD,474867
DUS001,2022,KPI_ReachH_CPD,6058392
